siren,siret,nom,type,naf,libelle,commune,departement,telephone,source
305362162,30536216204922,ASSURANCES 2000,finance_rh,66.22Z,Activites des agents et courtiers d'assurances,MONTREUIL,93,,sirene
510302953,51030295303478,CAFPI,finance_rh,66.19B,"Autres activites auxiliaires de services financiers, hors assurance et caisses de retraite",PARIS,75,,sirene
969508563,96950856301206,RAS,conseil_gestion,70.10Z,Activites des sieges sociaux,LYON,69,,sirene
803822360,80382236001298,WKDA FRANCE,ecommerce_negoce,45.11Z,Commerce de voitures et de vehicules automobiles legers,CHATILLON,92,,sirene
490072337,49007233700929,C & M GESTION,immobilier,68.31Z,Agences immobilieres,MONTBONNOT-SAINT-MARTIN,38,,sirene
490122538,49012253801532,SYF,finance_rh,66.19B,"Autres activites auxiliaires de services financiers, hors assurance et caisses de retraite",PARIS,75,,sirene
345130512,34513051200014,GENEDIS,conseil_gestion,70.10Z,Activites des sieges sociaux,MONDEVILLE,14,,sirene
456501600,45650160000211,FREMAUX DELORME,ecommerce_negoce,47.91B,Vente a distance sur catalogue specialise,PARIS,75,,sirene
479459570,47945957003644,MMA GESTION,finance_rh,66.22Z,Activites des agents et courtiers d'assurances,CHARTRES,28,,sirene
383324449,38332444910718,RETAIL GLOBAL SOLUTIONS,conseil_gestion,70.22Z,Conseil pour les affaires et autres conseils de gestion,BRON,69,,sirene
339200669,33920066900283,REGIE NETWORKS,marketing_com,73.12Z,Regie publicitaire de medias,LYON 9EME,69,,sirene
775659360,77565936000231,CREDIT SOCIAL FONCTIONNAIRES,finance_rh,66.19B,"Autres activites auxiliaires de services financiers, hors assurance et caisses de retraite",PARIS,75,,sirene
343134763,34313476300048,VIVENDI SE,conseil_gestion,70.10Z,Activites des sieges sociaux,PARIS,75,,sirene
350379251,35037925103609,APRIL MON ASSURANCE,finance_rh,66.22Z,Activites des agents et courtiers d'assurances,LYON,69,,sirene
827969213,82796921300293,ADRE EAU,conseil_gestion,71.12B,"Ingenierie, etudes techniques",MERIGNAC,33,,sirene
317036887,31703688701772,EURISK,conseil_gestion,71.12B,"Ingenierie, etudes techniques",PUTEAUX,92,,sirene
444275671,44427567100089,ASTORIA FINANCE,finance_rh,66.22Z,Activites des agents et courtiers d'assurances,PARIS,75,,sirene
587350273,58735027300039,IMPLID EXPERTISE CONSEIL,comptabilite,69.20Z,Activites comptables,BRIVES-CHARENSAC,43,,sirene
320387483,32038748300433,OLYS,ecommerce_negoce,46.51Z,"Commerce de gros d'ordinateurs, d'equipements informatiques peripheriques et de logiciels",LIMONEST,69,,sirene
785792433,78579243301314,RELAIS COLIS,logistique,52.29A,"Messagerie, fret express",IVRY-SUR-SEINE,94,,sirene
348168667,34816866700403,FIDUCIAL CONSEIL EN ABREGE FINANCIAL,finance_rh,66.19B,"Autres activites auxiliaires de services financiers, hors assurance et caisses de retraite",COURBEVOIE,92,,sirene
702027376,70202737602216,EGIS,conseil_gestion,70.10Z,Activites des sieges sociaux,PARIS,75,,sirene
331221150,33122115000229,LOCAL.FR,saas_web,62.01Z,Programmation informatique,BOULOGNE-BILLANCOURT,92,,sirene
